Instance, Best, Worst, Mean, SD

bur26g.dat,1.01268e+07,1.02238e+07,1.01681e+07,28253.7
chr15b.dat,9902,16236,13674.6,2147.71
esc16d.dat,16,18,16.8,1.0328
had14.dat,2724,2772,2741,16.8721
had20.dat,6944,7178,7000.4,69.3192
nug28.dat,5392,5686,5584.2,88.3853
scr12.dat,32236,35532,33555,1174.46
tai17a.dat,520938,539602,531411,5540.24
tai35a.dat,2.6085e+06,2.65658e+06,2.62814e+06,17348.6
wil50.dat,50512,51322,51023,256.427
