Instance, Best, Worst, Mean, SD

bur26g.dat,1.01278e+07,1.02201e+07,1.01642e+07,30929.5
chr15b.dat,12478,18504,16269,2093.24
esc16d.dat,16,18,16.4,0.843274
had14.dat,2724,2748,2732.8,7.72873
had20.dat,6954,7088,7007.2,38.8982
nug28.dat,5480,5600,5558.6,34.0855
scr12.dat,32292,34216,33083.6,564.016
tai17a.dat,513648,524812,517994,4111.86
tai35a.dat,2.60187e+06,2.63437e+06,2.61803e+06,8194.42
wil50.dat,50898,51590,51128.2,191.403
